GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Prácticas Externas (Derecho)","Prácticas Externas","Ciencias Sociales y Jurídicas","Prácticas Externas Derecho",es,
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Derecho Autonómico de la Ciudad de Melilla","Derecho Autonómico de Andalucía o de la Ciudad de Melilla","Ciencias Sociales y Jurídicas","Optativas Derecho",es,
"Grado en  Administración y Dirección Empresas y Derecho (Melilla)","Prácticas Externas (Administración de Empresas)","Prácticas Externas","Ciencias Sociales y Jurídicas","Optativas ADE",es,
"Grado en Administración y Dirección de Empresas",Matemáticas,Matemáticas,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Fundamentos de Dirección y Administración de Empresas",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Introducción al Márketing",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Introducción a las Operaciones Financieras",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",en,"<p>No</p>&#13;"
"Grado en Administración y Dirección de Empresas","Introducción a las Operaciones Financieras",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Economía Política",Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Introducción al Derecho",Derecho,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas",Microeconomía,Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Historia del Desarrollo Económico Mundial Contemporáneo",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",en,
"Grado en Administración y Dirección de Empresas","Historia del Desarrollo Económico Mundial Contemporáneo",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Contabilidad General",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Matemáticas Empresariales","Matemáticas Empresariales","Ciencias Sociales y Jurídicas","Ampliación de Matemáticas",es,
"Grado en Administración y Dirección de Empresas",Macroeconomía,Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Técnicas Cuantitativas I",Estadística,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Dirección y Administración de Empresas","Dirección y Administración de Empresas","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Contabilidad Financiera I","Contabilidad Financiera I","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Dirección Comercial","Dirección Comercial","Ciencias Sociales y Jurídicas","Estrategias de Marketing",en,
"Grado en Administración y Dirección de Empresas","Dirección Comercial","Dirección Comercial","Ciencias Sociales y Jurídicas","Estrategias de Marketing",es,"<ul>&#13;	<li>R-Studio: https://posit.co/download/rstudio-desktop/</li>&#13; <li>Jamovi: https://www.jamovi.org</li>&#13;	<li>JASP: https://jasp-stats.org</li>&#13;</ul>&#13;"
"Grado en Administración y Dirección de Empresas","Análisis de Operaciones Financieras","Análisis de las Operaciones Financieras","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Contabilidad Financiera II","Contabilidad Financiera II","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Técnicas Cuantitativas II",Estadística,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Administración y Dirección de Empresas","Organización de Empresas","Organización de Empresas","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Economía Mundial","Economía Mundial","Ciencias Sociales y Jurídicas","Análisis del Entorno Económico",es,
"Grado en Administración y Dirección de Empresas","Contabilidad de Gestión","Contabilidad de Gestión","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Derecho Fiscal","Derecho Fiscal","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas",Econometría,Econometría,"Ciencias Sociales y Jurídicas","Métodos Cuantitativos",es,
"Grado en Administración y Dirección de Empresas","Dirección de Operaciones I","Dirección de Operaciones I","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Dirección Estratégica de la Empresa I","Dirección Estratégica de la Empresa I","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Análisis de Estados Financieros","Análisis de Estados Financieros","Ciencias Sociales y Jurídicas","Contabilidad y Finanzas",es,
"Grado en Administración y Dirección de Empresas","Economía Española","Economía Española","Ciencias Sociales y Jurídicas","Análisis del Entorno Económico",es,
"Grado en Administración y Dirección de Empresas","Dirección de Recursos Humanos I","Dirección de Recursos Humanos I","Ciencias Sociales y Jurídicas","Organización de Empresas",en,
"Grado en Administración y Dirección de Empresas","Dirección de Recursos Humanos I","Dirección de Recursos Humanos I","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Dirección Estratégica de la Empresa II","Dirección Estratégica de la Empresa II","Ciencias Sociales y Jurídicas","Organización de Empresas",es,
"Grado en Administración y Dirección de Empresas","Métodos Cuantitativos","Métodos Cuantitativos","Ciencias Sociales y Jurídicas","Métodos Cuantitativos",es,"<p>Visual PROMETHEE</p>&#13;"
"Grado en Administración y Dirección de Empresas","Dirección Financiera","Dirección Financiera","Ciencias Sociales y Jurídicas","Dirección y Planificación Financiera",es,
"Grado en Administración y Dirección de Empresas","Creación de Empresas","Creación de Empresas","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Proyección Profesional",es,
"Grado en Administración y Dirección de Empresas","Comercio Exterior","Comercio Exterior","Ciencias Sociales y Jurídicas","Comercio Exterior e Investigación de Mercados",en,
"Grado en Administración y Dirección de Empresas","Comercio Exterior","Comercio Exterior","Ciencias Sociales y Jurídicas","Comercio Exterior e Investigación de Mercados",es,
